Time, Probe0_Pressure, Probe1_Pressure, Probe2_Pressure
1.660104e+00, 1.697037e-01, 1.055116e-01, 1.242101e-01
1.670136e+00, 1.698452e-01, 1.044832e-01, 1.231621e-01
1.680171e+00, 1.693814e-01, 1.027733e-01, 1.227432e-01
1.690218e+00, 1.689315e-01, 1.025141e-01, 1.225949e-01
1.700261e+00, 1.682566e-01, 1.095968e-01, 1.225402e-01
1.710301e+00, 1.676591e-01, 1.167100e-01, 1.224266e-01
1.720334e+00, 1.664531e-01, 1.169188e-01, 1.219757e-01
1.730025e+00, 1.654862e-01, 1.147201e-01, 1.210869e-01
1.740055e+00, 1.647713e-01, 1.136029e-01, 1.199015e-01
1.750097e+00, 1.636845e-01, 1.132789e-01, 1.187563e-01
1.760152e+00, 1.622962e-01, 1.128598e-01, 1.176688e-01
1.770190e+00, 1.610370e-01, 1.121031e-01, 1.164078e-01
1.780222e+00, 1.602350e-01, 1.110081e-01, 1.149074e-01
1.790243e+00, 1.599611e-01, 1.096882e-01, 1.134413e-01
1.800258e+00, 1.602383e-01, 1.086388e-01, 1.122861e-01
1.810281e+00, 1.603615e-01, 1.085842e-01, 1.113972e-01
1.820301e+00, 1.596007e-01, 1.096333e-01, 1.105478e-01
1.830322e+00, 1.586431e-01, 1.108441e-01, 1.096268e-01
1.840001e+00, 1.580431e-01, 1.110972e-01, 1.087086e-01
1.850008e+00, 1.577030e-01, 1.101400e-01, 1.077566e-01
1.860002e+00, 1.573987e-01, 1.086786e-01, 1.067305e-01
1.870308e+00, 1.568898e-01, 1.078308e-01, 1.054858e-01
1.880266e+00, 1.562427e-01, 1.082297e-01, 1.040807e-01
1.890207e+00, 1.554839e-01, 1.093614e-01, 1.025581e-01
1.900132e+00, 1.546701e-01, 1.102381e-01, 1.010302e-01
1.910049e+00, 1.539405e-01, 1.101707e-01, 9.957883e-02
1.920286e+00, 1.534623e-01, 1.091002e-01, 9.820601e-02
1.930172e+00, 1.532500e-01, 1.075843e-01, 9.701746e-02
1.940052e+00, 1.529753e-01, 1.060668e-01, 9.597372e-02
1.950273e+00, 1.525409e-01, 1.047045e-01, 9.507064e-02
1.960190e+00, 1.518060e-01, 1.037603e-01, 9.438571e-02
1.970137e+00, 1.509308e-01, 1.035237e-01, 9.382371e-02
1.980108e+00, 1.505106e-01, 1.040222e-01, 9.320229e-02
1.990087e+00, 1.511319e-01, 1.047944e-01, 9.230983e-02
2.000333e+00, 1.526859e-01, 1.060454e-01, 9.100417e-02
2.010000e+00, 1.534713e-01, 1.088509e-01, 8.948650e-02
2.020013e+00, 1.534270e-01, 1.138841e-01, 8.790291e-02
2.030037e+00, 1.538432e-01, 1.194184e-01, 8.676005e-02
2.040074e+00, 1.532495e-01, 1.231779e-01, 8.644831e-02
2.050138e+00, 1.531528e-01, 1.247449e-01, 8.688760e-02
2.060254e+00, 1.576708e-01, 1.253351e-01, 8.748623e-02
2.070068e+00, 1.613796e-01, 1.260109e-01, 8.767052e-02
